Aluminum Fluoride (AlF3)	Al1F3(cr,l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-11.625	-1504.272	-1504.272	INFINITE
100	24.932	12.058	119.836	-10.778	-1508.269	-1483.221	774.755
200	56.877	39.991	72.814	-6.565	-1510.252	-1457.225	380.588
298.15	75.132	66.484	66.484	0.	-1510.424	-1431.123	250.727
300	75.400	66.949	66.485	0.139	-1510.416	-1430.631	249.095
400	86.287	90.293	69.594	8.280	-1509.613	-1404.138	183.362
500	92.274	110.245	75.781	17.232	-1508.342	-1377.911	143.949
600	97.311	127.494	82.993	26.700	-1506.819	-1351.963	117.699
700	105.357	143.032	90.474	36.791	-1504.904	-1326.297	98.970
728.000	108.692	147.228	92.577	39.786	ALPHA <--> BETA
728.000	97.579	148.001	92.577	40.349	TRANSITION
800	98.516	157.248	97.987	47.409	-1502.681	-1300.966	84.944
900	99.717	168.922	105.231	57.322	-1501.390	-1275.830	74.047
1000	100.830	179.487	112.137	67.350	-1510.813	-1250.072	65.297
1100	101.893	189.147	118.705	77.486	-1509.431	-1224.064	58.126
1200	102.918	198.057	124.951	87.727	-1507.984	-1198.185	52.156
1300	103.918	206.334	130.897	98.069	-1506.471	-1172.429	47.109
1400	104.897	214.071	136.564	108.510	-1504.892	-1146.793	42.787
1500	105.864	221.341	141.976	119.048	-1503.244	-1121.271	39.046
1600	106.822	228.204	147.153	129.682	-1501.528	-1095.862	35.776
1700	107.771	234.709	152.114	140.412	-1499.741	-1070.562	32.894
1800	108.717	240.896	156.876	151.236	-1497.882	-1045.369	30.336
1900	109.663	246.799	161.454	162.155	-1495.946	-1020.283	28.050
2000	110.604	252.448	165.864	173.169	-1493.929	-995.299	25.995
2100	111.545	257.867	170.117	184.276	-1491.827	-970.419	24.138
2200	112.487	263.078	174.225	195.478	-1489.635	-945.641	22.452
2300	113.428	268.099	178.198	206.773	-1487.347	-920.965	20.916
2400	114.368	272.946	182.045	218.163	-1484.957	-896.391	19.509
2500	115.311	277.634	185.775	229.647	-1482.460	-871.918	18.218
2523.000	115.529	278.691	186.618	232.302	BETA <--> LIQUID
2523.000	125.520	317.662	186.618	330.626	TRANSITION
2600	125.520	321.436	190.555	340.291	-1380.785	-850.560	17.088
2700	125.520	326.173	195.490	352.843	-1377.177	-830.235	16.062
2800	125.520	330.738	200.240	365.395	-1667.443	-809.076	15.094
2900	125.520	335.142	204.816	377.947	-1662.679	-778.504	14.022
3000	125.520	339.398	209.231	390.499	-1657.878	-748.097	13.026
3100	125.520	343.513	213.497	403.051	-1653.038	-717.851	12.096
3200	125.520	347.499	217.623	415.603	-1648.155	-687.761	11.227
3300	125.520	351.361	221.617	428.155	-1643.228	-657.825	10.413
3400	125.520	355.108	225.489	440.707	-1638.253	-628.039	9.649
3500	125.520	358.747	229.244	453.259	-1633.231	-598.400	8.931
3600	125.520	362.283	232.891	465.811	-1628.159	-568.904	8.255
3700	125.520	365.722	236.435	478.363	-1623.038	-539.551	7.617
3800	125.520	369.069	239.881	490.915	-1617.867	-510.337	7.015
3900	125.520	372.330	243.236	503.467	-1612.647	-481.259	6.446
4000	125.520	375.508	246.503	516.019	-1607.378	-452.316	5.907
