Zirconium Oxide (ZrO2)	O2Zr1(cr,l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-8.749	-1092.032	-1092.032	INFINITE
100	18.927	9.488	90.390	-8.090	-1095.164	-1077.376	562.764
200	42.778	30.546	55.114	-4.914	-1097.091	-1058.694	276.502
298.15	56.191	50.359	50.359	0.000	-1097.463	-1039.724	182.155
300	56.262	50.707	50.360	0.104	-1097.460	-1039.366	180.970
400	63.848	68.064	52.675	6.155	-1096.940	-1020.063	133.207
500	67.764	82.769	57.264	12.753	-1096.026	-1000.945	104.568
600	70.237	95.356	62.589	19.660	-1094.969	-982.027	85.493
700	72.023	106.323	68.070	26.777	-1093.873	-963.289	71.882
800	73.450	116.036	73.471	34.053	-1092.785	-944.709	61.683
900	74.663	124.759	78.693	41.459	-1091.731	-926.264	53.759
1000	75.747	132.682	83.702	48.981	-1090.727	-907.933	47.426
1100	76.743	139.949	88.489	56.606	-1089.783	-889.699	42.248
1200	77.684	146.667	93.061	64.327	-1092.612	-871.328	37.928
1300	78.580	152.921	97.428	72.141	-1091.250	-852.942	34.272
1400	79.450	158.776	101.603	80.042	-1089.872	-834.662	31.142
1478.000	80.107	163.101	104.735	86.265	I <--> II
1478.000	74.475	167.121	104.735	92.207	TRANSITION
1500	74.475	168.222	105.658	93.845	-1082.675	-816.569	28.435
1600	74.475	173.028	109.720	101.293	-1081.921	-798.854	26.080
1700	74.475	177.543	113.578	108.740	-1081.266	-781.183	24.003
1800	74.475	181.800	117.251	116.188	-1080.720	-763.547	22.158
1900	74.475	185.827	120.756	123.635	-1080.293	-745.939	20.507
2000	74.475	189.647	124.105	131.083	-1079.995	-728.349	19.023
2100	74.475	193.280	127.314	138.530	-1079.836	-710.772	17.679
2200	74.475	196.745	130.392	145.978	-1101.150	-692.452	16.441
2300	74.475	200.056	133.349	153.425	-1101.717	-673.862	15.304
2400	74.475	203.225	136.195	160.873	-1102.306	-655.248	14.261
2500	74.475	206.265	138.937	168.320	-1102.918	-636.608	13.301
2600	74.475	209.186	141.583	175.768	-1103.550	-617.943	12.415
2700	74.475	211.997	144.140	183.215	-1104.204	-599.253	11.593
2800	74.475	214.706	146.612	190.663	-1104.878	-580.539	10.830
2900	74.475	217.319	149.005	198.110	-1105.572	-561.801	10.119
2950.000	74.475	218.592	150.174	201.834	II <--> LIQUID
2950.000	87.864	248.093	150.174	288.861	TRANSITION
3000	87.864	249.570	151.818	293.254	-1018.589	-544.518	9.481
3100	87.864	252.451	155.018	302.041	-1017.983	-528.726	8.909
3200	87.864	255.240	158.107	310.827	-1017.394	-512.953	8.373
3300	87.864	257.944	161.091	319.614	-1016.823	-497.199	7.870
3400	87.864	260.567	163.979	328.400	-1016.268	-481.460	7.397
3500	87.864	263.114	166.775	337.186	-1015.729	-465.739	6.951
3600	87.864	265.589	169.486	345.973	-1015.206	-450.032	6.530
3700	87.864	267.997	172.116	354.759	-1014.698	-434.340	6.132
3800	87.864	270.340	174.670	363.546	-1014.204	-418.661	5.755
3900	87.864	272.622	177.152	372.332	-1013.724	-402.995	5.398
4000	87.864	274.847	179.567	381.118	-1013.257	-387.341	5.058
4100	87.864	277.016	181.917	389.905	-1012.803	-371.699	4.736
4200	87.864	279.133	184.207	398.691	-1012.362	-356.068	4.428
4300	87.864	281.201	186.439	407.478	-1011.933	-340.446	4.136
4400	87.864	283.221	188.615	416.264	-1011.517	-324.836	3.856
4500	87.864	285.195	190.740	425.050	-1011.112	-309.234	3.590
4600	87.864	287.127	192.814	433.837	-1010.720	-293.642	3.334
4700	87.864	289.016	194.841	442.623	-1010.340	-278.057	3.090
4800	87.864	290.866	196.822	451.410	-1570.909	-250.863	2.730
4900	87.864	292.678	198.760	460.196	-1570.207	-223.369	2.381
5000	87.864	294.453	200.656	468.982	-1569.534	-195.889	2.046
