Phosphorus Oxide ((P2O5)2)	O10P4(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-33.962	-2979.041	-2979.041	INFINITE
100	77.613	77.530	376.309	-29.878	-2993.030	-2907.054	1518.489
200	154.557	155.896	246.521	-18.125	-3004.886	-2816.879	735.693
298.15	211.710	228.781	228.781	0.000	-3009.936	-2723.335	477.117
300	212.673	230.094	228.785	0.393	-3009.992	-2721.557	473.865
400	260.245	297.978	237.719	24.104	-3014.145	-2624.398	342.711
500	299.993	360.390	256.096	52.147	-3011.926	-2527.145	264.009
600	335.975	418.323	278.362	83.977	-3006.425	-2430.655	211.607
700	368.192	472.581	302.272	119.216	-2997.988	-2335.322	174.264
800	396.643	523.641	326.783	157.486	-2986.933	-2241.381	146.347
900	421.747	571.849	351.360	198.440	-2973.536	-2148.968	124.723
1000	442.667	617.389	375.707	241.682	-2958.135	-2058.158	107.507
1100	461.077	660.477	399.655	286.904	-2940.989	-1968.976	93.499
1200	475.302	701.230	423.104	333.751	-3176.705	-1877.108	81.708
1300	486.181	739.718	445.993	381.843	-3153.960	-1769.725	71.108
1400	494.967	776.080	468.284	430.914	-3130.407	-1664.124	62.089
1500	502.080	810.481	489.961	480.780	-3106.213	-1560.231	54.332
